name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
Cook Islands,cook-islands,Australia and Oceania,12.97,12.1,,9.4,4.6,15.1,77.6,,41.1,-25.1,55.9,7761,-2.24,24.0,2.02
Latvia,latvia,Europe,12.9,8.3,21.1,14.7,6.0,4.7,76.4,18,45.5,-4.9,23.6,1801246,-1.14,37.0,1.55
Czechia,czechia,Europe,12.73,9.8,,12.0,5.1,2.6,78.6,3,44.2,2.7,26.0,10837890,0.04,30.7,1.73
Lithuania,lithuania,Europe,11.93,8.9,2.5,15.2,4.0,3.6,76.1,9,45.1,-4.1,26.3,2628186,-1.05,32.0,1.62
Austria,austria,Europe,11.9,9.3,,9.9,5.1,3.2,82.7,5,44.9,3.5,20.1,8967982,0.3,26.4,1.52
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean,11.88,14.9,,5.7,3.8,13.6,78.3,21,33.9,2.0,18.9,102634,1.11,,1.93
Estonia,estonia,Europe,11.65,8.2,0.4,13.2,6.6,3.3,78.4,5,45.0,-2.7,21.2,1193791,-0.76,29.7,1.62
France,france,Europe,11.44,10.9,,10.0,5.5,3.1,82.6,8,42.6,1.1,21.6,68374591,0.2,33.4,1.9
Bulgaria,bulgaria,Europe,11.18,7.9,1.9,14.2,4.0,7.7,76.1,7,45.1,-0.3,25.0,6782659,-0.66,39.0,1.51
Slovenia,slovenia,Europe,11.05,8.0,,10.5,5.8,1.5,82.2,5,46.3,1.5,20.2,2097893,-0.1,22.0,1.6
Luxembourg,luxembourg,Europe,11.0,11.6,,7.1,5.0,3.2,83.4,6,39.9,10.8,22.6,671254,1.52,21.1,1.63
Andorra,andorra,Europe,10.99,6.9,,8.1,2.9,3.3,83.8,,48.8,0.0,25.6,85370,-0.12,31.8,1.47
Poland,poland,Europe,10.96,8.4,,12.2,5.2,4.9,76.7,2,42.9,-6.2,23.1,38746310,-1.0,24.0,1.32
Romania,romania,Europe,10.96,8.5,,14.6,3.7,5.5,76.9,10,45.5,-3.3,22.5,18148155,-0.94,28.0,1.63
Ireland,ireland,Europe,10.91,11.1,,7.4,3.1,3.3,82.0,5,40.2,5.6,25.3,5233461,0.93,20.8,1.72
Hungary,hungary,Europe,10.79,9.1,,14.5,4.8,4.7,76.0,15,44.8,2.5,26.4,9855745,-0.28,31.8,1.6
Spain,spain,Europe,10.72,7.1,,10.0,4.6,2.4,83.0,3,46.8,4.1,23.8,47280433,0.12,27.7,1.3
Belarus,belarus,Europe,10.57,8.3,,13.3,4.7,2.1,74.7,1,42.1,0.8,24.5,9501451,-0.42,30.5,1.45
Germany,germany,Europe,10.56,8.9,0.5,12.0,4.7,3.1,81.9,4,46.8,1.8,22.3,84119100,-0.12,22.0,1.58
Portugal,portugal,Europe,10.37,8.0,0.4,10.9,5.0,2.4,81.9,12,46.4,1.5,20.8,10207177,-0.14,25.4,1.45
Slovakia,slovakia,Europe,10.3,10.0,,11.2,4.6,5.1,77.2,5,42.8,0.4,20.5,5563649,-0.08,31.5,1.6
Barbados,barbados,Central America and the Caribbean,9.94,10.7,,8.1,6.5,9.6,79.0,39,41.4,-0.3,23.1,304139,0.23,8.5,1.7
Montenegro,montenegro,Europe,9.91,10.9,3.7,10.3,,3.2,78.2,6,41.1,-5.0,23.3,599849,-0.44,31.4,1.8
United Kingdom,united-kingdom,Europe,9.8,10.8,,9.2,5.5,3.8,82.2,10,40.8,2.9,27.8,68459055,0.45,15.4,1.63
Croatia,croatia,Europe,9.64,8.5,,13.1,5.5,8.4,77.7,5,45.1,0.0,24.4,4150116,-0.46,36.9,1.46
Cyprus,cyprus,Europe,9.59,10.2,,7.0,6.1,8.1,80.2,68,39.5,6.3,21.8,1320525,0.95,35.1,1.49
Australia,australia,Australia and Oceania,9.51,12.2,,6.8,6.1,2.9,83.5,3,38.1,5.9,29.0,26768598,1.13,13.6,1.73
Seychelles,seychelles,Africa,9.48,11.8,,7.0,5.2,10.2,76.6,3,38.7,0.8,14.0,98187,0.56,20.2,1.81
"Bahamas, The",bahamas-the,Central America and the Caribbean,9.48,13.1,,5.6,2.8,9.4,76.7,77,30.7,3.2,31.6,410862,1.07,10.6,1.44
Switzerland,switzerland,Europe,9.41,10.1,,8.5,5.2,3.0,83.9,7,44.2,5.9,19.5,8860574,0.75,25.5,1.59
Saint Lucia,saint-lucia,Central America and the Caribbean,9.3,11.4,,8.3,3.6,11.5,79.4,73,39.7,-0.6,19.7,168038,0.26,,1.71
New Zealand,new-zealand,Australia and Oceania,9.17,12.6,,6.9,6.0,3.3,82.9,7,37.9,3.8,30.8,5161211,0.95,13.7,1.85
Denmark,denmark,Europe,9.16,11.3,,9.6,6.4,3.0,82.1,5,42.2,2.7,19.7,5973136,0.44,17.5,1.77
Belgium,belgium,Europe,9.15,10.8,1.0,9.5,6.7,3.1,82.3,5,42.0,4.0,22.1,11977634,0.53,23.4,1.76
United States,united-states,North America,8.93,12.2,0.4,8.5,6.1,5.1,80.9,21,38.9,3.0,36.2,341963408,0.67,23.0,1.84
Saint Kitts and Nevis,saint-kitts-and-nevis,Central America and the Caribbean,8.84,11.8,,7.4,2.5,8.0,77.6,,38.6,1.1,22.9,55133,0.56,,1.76
Grenada,grenada,Central America and the Caribbean,8.62,13.3,,8.4,3.6,9.0,76.3,21,35.4,-2.2,21.3,114621,0.27,,1.9
Niue,niue,Australia and Oceania,8.5,,,,,,,,,,50.0,2000,-0.03,,
Japan,japan,East and Southeast Asia,8.36,6.9,,11.9,3.4,1.9,85.2,4,49.9,0.7,4.3,123201945,-0.43,20.1,1.4
Netherlands,netherlands,Europe,8.23,10.6,,9.7,5.3,3.6,81.9,4,42.2,3.0,20.4,17772378,0.39,22.2,1.61
Finland,finland,Europe,8.23,10.2,,10.4,5.9,2.1,82.2,8,43.3,2.2,22.2,5626414,0.2,21.6,1.74
Laos,laos,East and Southeast Asia,8.15,19.8,21.1,6.2,2.3,35.4,69.0,126,25.4,-1.0,5.3,7953556,1.26,31.8,2.24
Malta,malta,Europe,8.07,9.4,,8.8,5.9,4.4,83.6,3,43.5,4.4,28.9,469730,0.51,24.0,1.51
Canada,canada,North America,8.0,10.0,,8.2,5.2,4.3,84.2,11,42.6,5.3,29.4,38794813,0.71,13.0,1.58
Argentina,argentina,South America,7.95,15.2,1.7,7.3,5.0,9.0,78.8,45,33.3,-0.1,28.3,46994384,0.79,24.5,2.15
Tanzania,tanzania,Africa,7.81,32.5,12.1,5.0,3.3,29.6,70.8,238,19.1,-0.4,8.4,67462121,2.72,8.7,4.27
Chile,chile,South America,7.8,12.4,0.5,6.6,5.6,6.3,80.3,15,36.9,0.3,28.0,18664652,0.61,29.2,1.75
"Korea, South",korea-south,East and Southeast Asia,7.74,7.0,0.9,7.4,4.7,2.8,83.4,8,45.5,2.6,4.7,52081799,0.21,20.8,1.12
Iceland,iceland,Europe,7.72,12.6,,6.6,7.7,1.6,84.0,3,38.0,2.5,21.9,364036,0.85,12.0,1.94
Eswatini,eswatini,Africa,7.68,22.3,5.8,9.4,5.0,36.7,60.7,437,24.6,-6.0,16.5,1138089,0.7,9.2,2.37
Italy,italy,Europe,7.65,7.1,,11.2,4.3,3.1,83.0,5,48.4,3.4,19.9,60964931,-0.08,23.1,1.26
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,Central America and the Caribbean,7.48,11.9,,7.7,5.7,12.3,77.2,62,37.6,-5.8,23.7,100647,-0.15,,1.74
Georgia,georgia,Middle East,7.45,12.0,2.1,13.3,3.6,21.7,72.8,28,38.3,-3.8,21.7,4900961,-0.5,31.7,1.95
Moldova,moldova,Europe,7.45,8.4,,14.2,6.4,13.8,70.1,12,39.9,0.0,18.9,3599528,-0.58,29.0,1.26
Serbia,serbia,Europe,7.45,8.8,1.0,14.9,3.6,4.5,75.3,10,43.9,0.0,21.5,6652212,-0.61,39.8,1.46
Russia,russia,Central Asia,7.29,8.4,,14.0,3.7,6.5,72.3,14,41.9,0.8,23.1,140820810,-0.49,26.8,1.52
Burkina Faso,burkina-faso,Africa,7.28,31.9,17.5,7.3,5.5,47.0,64.2,264,18.7,-0.6,5.6,23042199,2.4,14.3,4.02
South Africa,south-africa,Africa,7.21,17.7,5.5,6.9,6.6,21.9,71.9,127,30.4,-0.2,28.3,60442647,1.07,20.3,2.27
Sweden,sweden,Europe,7.1,10.7,,9.6,7.2,2.3,82.9,5,41.1,4.0,20.6,10589835,0.51,24.0,1.67
Thailand,thailand,East and Southeast Asia,6.86,9.9,7.7,8.0,3.2,6.3,78.2,29,41.5,-0.3,10.0,69920998,0.17,22.1,1.54
Uganda,uganda,Africa,6.82,39.6,7.6,4.7,2.7,28.5,69.7,284,16.2,-3.1,5.3,49283041,3.18,8.4,5.17
Suriname,suriname,South America,6.6,14.9,6.7,6.7,5.0,29.6,72.7,96,32.0,2.5,26.4,646758,1.07,,1.89
Panama,panama,Central America and the Caribbean,6.54,17.4,3.0,5.7,3.9,14.2,79.2,50,31.5,3.0,22.7,4470241,1.48,5.0,2.35
Gabon,gabon,Africa,6.47,25.7,6.4,5.5,3.2,26.9,70.4,227,22.0,3.5,15.0,2455105,2.37,,3.21
Rwanda,rwanda,Africa,6.35,25.0,7.7,5.7,3.8,24.9,66.6,259,20.8,-3.1,5.8,13623302,1.62,13.7,3.14
Greece,greece,Europe,6.33,7.4,,12.0,4.4,3.4,81.9,8,46.5,1.1,24.9,10461091,-0.35,33.5,1.41
Dominica,dominica,Central America and the Caribbean,6.32,13.3,,8.1,5.5,10.7,78.7,,37.0,-5.3,27.9,74661,-0.01,,2.01
Brazil,brazil,South America,6.12,13.2,,7.0,6.0,12.9,76.3,72,35.1,-0.2,22.1,220051512,0.61,12.8,1.74
Equatorial Guinea,equatorial-guinea,Africa,6.11,29.0,,8.9,,77.4,63.9,212,22.1,12.1,8.0,1795834,3.23,,4.12
Norway,norway,Europe,6.05,10.4,,8.4,5.9,1.8,82.9,2,40.8,3.9,23.1,5509733,0.59,16.2,1.57
Botswana,botswana,Africa,5.98,19.6,,8.9,8.7,23.7,66.4,186,27.1,2.7,18.9,2450668,1.34,19.4,2.34
Belize,belize,Central America and the Caribbean,5.93,17.7,4.6,5.0,8.7,11.3,74.3,130,26.8,2.0,24.1,415789,1.47,8.5,2.05
Angola,angola,Africa,5.84,41.1,19.0,7.6,2.4,55.6,62.9,222,16.3,-0.2,8.2,37202061,3.33,,5.7
Trinidad and Tobago,trinidad-and-tobago,Central America and the Caribbean,5.81,10.5,,8.6,4.1,15.1,76.5,27,38.5,-0.9,18.6,1408966,0.1,,1.63
"Congo, Republic of the",congo-republic-of-the,Africa,5.74,28.7,12.3,4.8,4.5,30.6,72.9,282,20.7,-0.1,9.6,6097665,2.38,14.5,3.79
Peru,peru,South America,5.74,16.7,2.1,10.9,4.0,10.8,68.9,69,30.2,-1.0,19.7,32600249,0.48,8.1,2.15
Ukraine,ukraine,Europe,5.69,6.0,,18.6,5.4,8.7,70.5,17,44.9,36.5,24.1,35661826,2.38,25.8,1.22
Dominican Republic,dominican-republic,Central America and the Caribbean,5.56,17.3,3.0,7.1,4.6,21.7,72.6,107,29.2,-2.7,27.6,10815857,0.76,10.6,2.15
Paraguay,paraguay,South America,5.47,15.9,1.3,4.9,3.3,22.0,78.8,71,31.8,-0.1,20.3,7522549,1.09,11.5,1.88
Mongolia,mongolia,East and Southeast Asia,5.46,14.9,1.8,6.4,4.7,19.4,71.9,39,31.5,-0.8,20.6,3281676,0.78,29.4,1.87
Bosnia and Herzegovina,bosnia-and-herzegovina,Europe,5.46,8.2,,10.3,,5.0,78.5,6,44.8,-0.4,17.9,3798671,-0.25,35.0,1.38
Uruguay,uruguay,South America,5.42,12.6,1.8,9.1,4.6,8.0,78.9,19,36.5,-0.9,27.9,3425330,0.26,21.5,1.75
Guyana,guyana,South America,5.11,16.7,9.4,7.0,4.5,21.1,72.4,112,28.3,-6.6,20.2,794099,0.32,12.1,2.05
Philippines,philippines,East and Southeast Asia,4.85,22.1,19.1,6.2,3.7,22.0,70.8,78,25.7,-0.2,6.4,118277063,1.56,22.9,2.75
Cuba,cuba,Central America and the Caribbean,4.7,9.9,2.4,9.5,,4.0,80.1,39,42.6,-2.1,24.6,10966038,-0.17,17.9,1.71
Cabo Verde,cabo-verde,Africa,4.7,17.9,,5.7,7.6,22.4,74.3,42,28.8,-0.6,11.8,611014,1.16,11.4,2.1
Cambodia,cambodia,East and Southeast Asia,4.56,18.2,16.3,5.7,3.1,27.9,71.4,218,27.9,-2.6,3.9,17063669,0.99,21.1,2.17
Nigeria,nigeria,Africa,4.49,33.8,18.4,8.4,0.5,53.7,62.2,1047,19.3,-0.2,8.9,236747130,2.52,3.7,4.52
China,china,East and Southeast Asia,4.48,10.2,2.4,7.7,3.6,6.2,78.7,23,40.2,-0.1,6.2,1416043270,0.23,25.6,1.55
Albania,albania,Europe,4.4,12.3,1.5,7.4,3.1,10.3,79.9,8,36.3,-3.2,21.7,3107100,0.16,22.4,1.55
Mexico,mexico,North America,4.25,14.3,4.2,6.5,4.3,12.1,74.6,59,30.8,-0.7,28.9,130739927,0.72,13.1,1.79
Sao Tome and Principe,sao-tome-and-principe,Africa,4.23,26.7,5.4,6.0,5.0,42.6,67.7,146,20.8,-6.5,12.4,223561,1.42,5.7,3.31
Colombia,colombia,South America,4.09,14.9,3.7,8.0,4.9,11.7,74.9,75,32.7,-2.1,22.3,49588357,0.48,8.5,1.94
Cameroon,cameroon,Africa,4.09,34.7,11.0,7.4,3.2,46.1,64.2,438,18.9,-0.3,11.4,30966105,2.71,7.3,4.44
Burundi,burundi,Africa,4.07,34.6,27.6,5.7,5.0,35.7,68.1,494,18.4,-0.7,5.4,13590102,2.81,11.8,4.9
Kyrgyzstan,kyrgyzstan,Central Asia,4.02,18.7,1.8,6.0,6.2,24.5,72.9,50,28.3,-4.8,16.6,6172101,0.79,25.4,2.45
North Macedonia,north-macedonia,Europe,3.9,10.2,0.9,9.6,,7.0,77.3,3,40.5,0.4,22.4,2135622,0.1,,1.53
Zambia,zambia,Africa,3.82,34.1,11.8,5.9,3.7,35.6,66.9,135,18.4,0.1,8.1,20799116,2.83,14.4,4.42
Armenia,armenia,Middle East,3.77,10.5,2.6,9.6,2.8,11.6,76.7,27,38.9,-5.2,20.2,2976765,-0.42,25.5,1.65
Kazakhstan,kazakhstan,Central Asia,3.73,17.2,2.0,8.1,4.5,8.0,73.3,13,31.9,-0.4,21.0,20260006,0.86,23.2,2.58
Nicaragua,nicaragua,Central America and the Caribbean,3.69,16.4,,5.1,4.6,14.4,74.7,78,29.0,-1.8,23.7,6676948,0.95,,1.83
"Korea, North",korea-north,East and Southeast Asia,3.61,13.2,9.3,9.2,,15.4,73.5,107,35.9,0.0,6.8,26298666,0.4,17.4,1.81
Lesotho,lesotho,Africa,3.56,22.9,10.5,10.8,8.7,45.7,60.2,566,23.9,-4.5,16.6,2227548,0.76,24.3,2.85
Jamaica,jamaica,Central America and the Caribbean,3.46,15.6,2.5,7.5,6.0,10.7,76.3,99,30.9,-7.1,24.7,2823713,0.1,9.4,2.05
Vietnam,vietnam,East and Southeast Asia,3.41,14.9,11.6,5.8,4.1,14.1,76.1,124,33.1,-0.2,2.1,105758975,0.89,24.8,2.03
Mauritius,mauritius,Africa,3.39,9.8,,9.0,4.9,11.6,75.4,84,39.6,0.0,10.8,1310504,0.07,20.2,1.36
Sierra Leone,sierra-leone,Africa,3.22,30.8,12.0,9.0,9.1,71.2,59.4,443,19.4,1.4,8.7,9121049,2.32,13.5,3.61
Guinea-Bissau,guinea-bissau,Africa,3.21,36.0,18.8,7.2,2.7,46.4,64.5,725,18.4,-3.5,9.5,2132325,2.54,9.0,4.62
Liberia,liberia,Africa,3.12,32.4,10.9,8.3,2.7,55.7,61.6,652,19.9,-0.8,9.9,5437249,2.32,8.2,3.93
Zimbabwe,zimbabwe,Africa,3.11,28.8,9.7,6.5,3.9,33.4,67.2,357,21.2,-3.2,15.5,17150352,1.91,11.7,3.47
India,india,South Asia,3.09,16.2,31.5,9.1,4.5,30.4,68.2,103,29.8,0.1,3.9,1409128296,0.72,27.2,2.03
Israel,israel,Middle East,3.07,19.1,,5.2,7.1,2.8,83.1,3,30.1,1.9,26.1,9402617,1.58,21.2,2.92
Costa Rica,costa-rica,Central America and the Caribbean,3.07,10.8,2.9,5.3,6.7,6.7,80.3,22,35.5,1.9,25.7,5265575,0.74,8.8,1.43
Ecuador,ecuador,South America,3.05,17.7,5.2,7.2,3.7,11.2,74.9,66,28.0,-1.1,19.9,18309984,0.94,11.3,2.21
Bolivia,bolivia,South America,2.98,17.6,3.4,6.6,9.8,22.3,72.5,161,26.6,-1.0,20.2,12311974,1.0,12.7,2.2
